,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
0,09016722516000043000003286S9,6309895,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,AVENIDA,LAGO ALBERTO,320,0,ANAHUAC,11320,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.18935061,19.42521077,,,,0798,001,722516,,72,722,7225,72251,,COLONIA,2010-07,090160001
1,09005722211000231020003286S1,6309896,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,CALLE,COLECTORES 13,280,,MAGDALENA DE LAS SALINAS,07760,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.13088315,19.48692097,,,,1256,012,722516,,72,722,7225,72251,,COLONIA,2010-07,090050001
2,09016722516000053001003286S8,6309899,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,CALLE,PRADO NORTE,365,,LOMAS DE CHAPULTEPE,11000,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.20978383,19.42773319,,,,0887,006,722516,,72,722,7225,72251,,COLONIA,2010-07,090160001
3,09016722211000371020003286S2,6309900,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,AVENIDA,HORACIO,308,0,COL POLANCO,11570,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.18596523,19.43310466,,,,0675,003,722516,,72,722,7225,72251,,COLONIA,2010-07,090160001
4,09002722211000221020003286S9,6309901,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,AVENIDA,AQUILES SERDAN,1193,,TIERRA NUEVA,02130,"AZCAPOTZALCO, Azcapotzalco, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.20145014,19.49878240,,,,0167,024,722516,,72,722,7225,72251,,COLONIA,2010-07,090020001
5,09016722211000041020003286S1,6309902,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,CALLE,RAFAEL REYES ESPINDOLA,491,1,PERIODISTAS,11220,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.21990000,19.44961653,,,,0302,001,722516,,72,722,7225,72251,,COLONIA,2014-12,090160001
6,09016722211000251022003286S6,6309903,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,LEGARIA,252,,PENSIL NORTE,11430,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.19848689,19.45332242,,,,0251,006,722516,,72,722,7225,72251,,COLONIA,2011-03,090160001
7,09007722211001661021003286S4,6309904,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,CANAL DE TEZONTLE,1520,,ALFONSO ORTIZ TIRADO,09020,"IZTAPALAPA, Iztapalapa, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.07698993,19.38311877,,,,2390,011,722516,,72,722,7225,72251,,COLONIA,2010-07,090070001
8,09007722211000751021003286S4,6309919,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,CALLE,TLAHUAC,3843,,SAN ANDRES TOMATLAN,09870,"IZTAPALAPA, Iztapalapa, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.10678834,19.32871262,,,,1852,027,722516,,72,722,7225,72251,,COLONIA,2010-07,090070001
9,09005722211000291020003286S5,6309932,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,AVENIDA,LINEA 3  DEL METRO NIVEL ANDEN  ESTACION LA RAZA,0,,GUADALUPE VICTORIA,07200,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.13891478,19.46780435,,,,174A,032,722516,,72,722,7225,72251,,COLONIA,2010-07,090050001
10,09005722211000491022003286S1,6309935,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,ANDADOR,LINEA 3 DEL METRO NIVEL MEZZANINE ESTACION INDIOS VERDES,0,,SAN PEDRO ZACATENCO,07360,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.12046141,19.49724546,,,,0756,001,722516,,72,722,7225,72251,,COLONIA,2010-07,090050001
11,09016722211000491021003286S8,6309936,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,LINEA 1 DEL METRO ESTACION TACUBAYA,0,,TACUBAYA,11870,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.18731704,19.40290635,,,,1175,012,722516,,72,722,7225,72251,,COLONIA,2010-07,090160001
12,09016722211000241000003286S7,6309939,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,PASAJE,2 ESTACION CUATRO CAMINOS,0,0,LOMAS DE SOTELO,53390,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM,Fijo,-99.18646300,19.45878764,,,,0158,015,722516,,72,722,7225,72251,,COLONIA,2010-07,090160001
13,09005722211000251021003286S9,6310244,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,51 a 100 personas,CALZADA,DE GUADALUPE,431,,GUADALUPE TEPEYAC,07840,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.12190366,19.47224110,,,,1805,004,722516,,72,722,7225,72251,,COLONIA,2010-07,090050001
14,09005722211000661020003286S9,6310252,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,AVENIDA,ESCUADRON 201,0,,TICOMAN ESCALERA,07330,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.14295580,19.51775037,,,,2856,023,722516,,72,722,7225,72251,,COLONIA,2010-07,090050001
15,09007722516000033000003286S9,6310298,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,AVENIDA,CANAL DE TEZONTLE,1512,,DR ALFONSO ORTIZ TIRADO,09020,"IZTAPALAPA, Iztapalapa, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.08308996,19.38211684,,,,2390,011,722516,,72,722,7225,72251,,COLONIA,2010-07,090070001
16,09017722211000371021003286S0,6310299,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,EJE VIAL,ALUMINIO,401,,20 DE NOVIEMBRE,15300,"VENUSTIANO CARRANZA, Venustiano Carranza, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.11040142,19.45018521,,,,0047,031,722516,,72,722,7225,72251,,COLONIA,2014-12,090170001
17,09014722211000221021003286S4,6313034,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,CALLE,GEORGIA,120,,NAPOLES,03810,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.17813091,19.38852565,,,,037A,008,722516,,72,722,7225,72251,,COLONIA,2010-07,090140001
