,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
0,09014713941000196001000000U1,6313209,CENTRO DEPORTIVO COYOACAN AC,CENTRO DEPORTIVO COYOACAN AC,Clubes deportivos del sector privado,251 y más personas,CALLE,CARRILLO PUERTO,359,0,GENERAL PEDRO MA ANAYA,03340,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,CDCADMON@PRODIGY.NET.MX,WWW.CDCAC.COM,Fijo,-99.16201730,19.36136960,,,,0971,006,713941,PLANTA BAJA,71,713,7139,71394,CENTRO DEPOTIVO COYOACAN,COLONIA,2010-07,090140001
1,09013713944000096001000000U9,941538,CENTRO DEPORTIVO XOCHIMILCO,GOBIERNO DE LA CIUDAD DE MEXICO ALCALDIA XOCHIMILCO ,Centros de acondicionamiento físico del sector público,251 y más personas,CALLE,FRANCISCO GOYTIA,0,0,SAN PEDRO,16090,"XOCHIMILCO, Xochimilco, CIUDAD DE MÉXICO",5556533335,,,Fijo,-99.10623360,19.25562993,,,,032A,001,713944,,71,713,7139,71394,,BARRIO,2014-12,090130001
2,09013713941000136000000000U9,6313691,CLUB ALEMAN DE MEXICO,CLUB ALEMAN DE MEXICO SA DE CV,Clubes deportivos del sector privado,251 y más personas,CALLE,RETAMA,153,0,SANTA MARIA TEPEPAN,16020,"XOCHIMILCO, Xochimilco, CIUDAD DE MÉXICO",,PRODRIGUEZ@CLUBALEMAN.MX,WWW.CLUBALEMAN.MX,Fijo,-99.13224838,19.27621998,,,,0014,021,713941,,71,713,7139,71394,,COLONIA,2010-07,090130001
3,09003713941000167000000000U5,6313476,CLUB CAMPESTRE DE LA CIUDAD DE MEXICO,CLUB CAMPESTRE DE LA CIUDAD DE MEXICO SA DE CV,Clubes deportivos del sector privado,251 y más personas,CALZADA,CALZADA DE TLALPAN,1978,0,COUNTRY CLUB,04220,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,contabilidad@cccm.cc,WWW.CCCM.MX,Fijo,-99.14455239,19.34592125,,,,0075,002,713941,,71,713,7139,71394,,COLONIA,2010-07,090030001
4,09012713910000027001000000U7,6315219,CLUB DE GOLF MEXICO SA DE CV,CLUB DE GOLF MEXICO SA DE CV,Campos de golf,251 y más personas,CALLE,GLORIETA SUR,64,0,SAN BUENAVENTURA,14629,"TLALPAN, Tlalpan, CIUDAD DE MÉXICO",,AHERNANDEZ@CLUBDEGOLFMEXICO.COM.MX,,Fijo,-99.15946972,19.27930460,,,,1034,010,713910,,71,713,7139,71391,,COLONIA,2010-07,090120001
5,09010713941000246001000000U2,6314780,CLUB FRANCE,CIRCULO FRANCÉS DE MÉXICO AC,Clubes deportivos del sector privado,251 y más personas,CALLE,FRANCIA,75,0,FLORIDA,01030,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,,WWW.CLUBFRANCE.ORG.MX,Fijo,-99.18072521,19.35824126,,,,0991,002,713941,,71,713,7139,71394,,COLONIA,2010-07,090100001
6,09007713944000163001000000U9,713008,DEPORTIVO EMILIO SAENZ IBARRA SECRETARIA DE OBRAS Y SERVICIOS DE LA DIRECCION GENERAL DE SERVICIOS URBANOS Y SUSTENTABILIDAD,DEPORTIVO EMILIO SAENZ IBARRA SECRETARIA DE OBRAS Y SERVICIOS DE LA DIRECCION GENERAL DE SERVICIOS URBANOS Y SUSTENTABILIDAD ,Centros de acondicionamiento físico del sector público,251 y más personas,EJE VIAL,6 SUR,,,CENTRAL DE ABASTOS,09000,"IZTAPALAPA, Iztapalapa, CIUDAD DE MÉXICO",,,,Fijo,-99.10249660,19.37140090,,,,2460,031,713944,,71,713,7139,71394,,COLONIA,2014-12,090070001
7,09012713998000097000003281S5,6322664,KIDZANIA CUICUILCO,KIDZANIA DE MEXICO SA DE CV,Otros servicios recreativos prestados por el sector privado,251 y más personas,AVENIDA,SAN FERNANDO,649,0,PEÑA POBRE,14060,"TLALPAN, Tlalpan, CIUDAD DE MÉXICO",,,,Fijo,-99.18300147,19.29552107,CENTRO Y PLAZA COMERCIAL,,,1890,001,713998,,71,713,7139,71399,,COLONIA,2012-06,090120001
8,09004713998000047000003281S7,6315517,KIDZANIA SANTA FE,KIDZANIA DE MEXICO SA DE CV,Otros servicios recreativos prestados por el sector privado,251 y más personas,PROLONGACION,VASCO DE QUIROGA,3800,1,SANTA FE CUAJIMALPA,05109,"CUAJIMALPA DE MORELOS, Cuajimalpa de Morelos, CIUDAD DE MÉXICO",,,WWW.KIDZANIA.COM.MX,Fijo,-99.27565737,19.36221080,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL SANTA FE,L-1,0369,001,713998,,71,713,7139,71399,,COLONIA,2010-07,090040001
9,09014541990002187010000000U3,6856576,NEW EVOLUTION FITNESS SERVICIOS,NEW EVOLUTION FITNESS SERVICIOS S DE RL DE CV,Centros de acondicionamiento físico del sector privado,251 y más personas,CALLE,DAKOTA,95,0,NAPOLES,03810,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,JJIMENEZ@NEV.MX,WWW.ENERGY.COM,Fijo,-99.17462804,19.39529286,,,,0204,010,713943,PISO 1,71,713,7139,71394,DAKOTA 95,COLONIA,2019-04,090140001
