,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
0,09002722513004564000037878S7,8332181, LA CASA DE TOÑO,GRUPO RESTAURANTERO GR2 SA DE CV,Restaurantes con servicio de preparación de antojitos,31 a 50 personas,CALLE,FLORESTA,77,,CLAVERIA,02080,"AZCAPOTZALCO, Azcapotzalco, CIUDAD DE MÉXICO",,LETICIA.DIAZ@LACASADETONO.COM.MX,,Fijo,-99.18657203,19.46603565,,,,0684,003,722513,,72,722,7225,72251,,COLONIA,2019-11,090020001
1,09005722513011503000037878S9,8332182, LA CASA DE TOÑO,GRUPO RESTAURANTERO GR2 SA DE CV,Restaurantes con servicio de preparación de antojitos,11 a 30 personas,AVENIDA,GUILLERMO MASSIEU HELGUERA,86,,LA ESCALERA,02370,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,LETICIA.DIAZ@LACASADETONO.COM.MX,,Fijo,-99.13758140,19.51048242,,,,2860,001,722513,,72,722,7225,72251,,COLONIA,2019-11,090050001
2,09016722513004264000037877S4,8332611, LA CASA DE TOÑO,GASTRONOMICA LCDBC SA DE CV,Restaurantes con servicio de preparación de antojitos,31 a 50 personas,AVENIDA,RODOLFO GAONA,3,201,PERIODISTA,11220,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,,Fijo,-99.21870029,19.45217271,,,,0302,004,722513,,72,722,7225,72251,,COLONIA,2019-11,090160001
3,09015812410008431000037878S7,893204,ESTACIONAMIENTO DEL RESTAURANTE LA CASA DE TOÑO,GRUPO RESTAURANTERO GR2 SA DE CV,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,CALLE,SABINO,175,0,SANTA MARÍA LA RIBERA,06400,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,LETICIA.DIAZ@LACASADETONO.COM.MX,WWW.LACASADETONO.COM,Fijo,-99.15974532,19.44978209,,,,0466,013,722513,,72,722,7225,72251,,PROLONGACION,2014-12,090150001
4,09016722219010462011003470S0,6257405,LA CASA DE TOÑO,INGENIERIA EN ALIMENTOS ADA SA DE CV,Restaurantes con servicio de preparación de antojitos,11 a 30 personas,CALLE,BAHÍA ESPÍRITU SANTO,21,0,ANÁHUAC,11320,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,CARMEN.FLORES@LACASADETONO.COM.MX,WWW.LACASADETONO.COM.MX,Fijo,-99.17799267,19.43983478,OTRO CONGLOMERADO,PLAZA BANDERAS,"2, 3, 8, 9 Y 10",0482,011,722513,,72,722,7225,72251,,COLONIA,2010-07,090160001
5,09005722511000174011037878S6,657544,LA CASA DE TOÑO,GRUPO RESTAURANTERO GR2 SA DE CV,Restaurantes con servicio de preparación de antojitos,11 a 30 personas,AVENIDA,GUILLERMO MASSIEU H.,86,0,LA ESCALERA,07320,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,LETICIA.DIAZ@LACASADETONO.COM.MX,WWW.LCASDETONO.COM.MX,Fijo,-99.13741424,19.51037187,,,,2860,001,722513,,72,722,7225,72251,,COLONIA,2010-07,090050001
6,09016722511000373001000000S1,846315,LA CASA DE TOÑO,GASTRONOMIA LCDBC SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,AVENIDA,EJERCITO NACIONAL MEXICANO,11,17,LOS MORALES,11510,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",5521077658,,,Fijo,-99.21069868,19.43860697,CENTRO Y PLAZA COMERCIAL,PLAZA POLANCO,17,0622,006,722511,PLANTA BAJA,72,722,7225,72251,CENTRO Y PLAZA COMERCIAL,COLONIA,2011-03,090160001
7,09015722511014056000000000S8,8483843,LA CASA DE TOÑO,RESTAURANTES MARTOCA SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,101 a 250 personas,EJE VIAL,2 NORTE (MANUEL GONZALEZ),95,1,SAN SIMON TOLNAHUAC,06920,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14209671,19.45580936,CENTRO Y PLAZA COMERCIAL,PUERTA TLATELOLCO,R,0080,026,722511,PLANTA BAJA,72,722,7225,72251,CENTRO Y PLAZA COMERCIAL,COLONIA,2019-11,090150001
8,09002722513004574000037880M6,8486367,LA CASA DE TOÑO,RESTAURANTES ANCA SA DE CV,Restaurantes con servicio de preparación de antojitos,51 a 100 personas,CALZADA,1 PONIENTE (CALZADA VALLEJO),296,1,SAN FRANCISCO XOCOTITLA,02940,"AZCAPOTZALCO, Azcapotzalco, CIUDAD DE MÉXICO",,LETICIA.DIAZ@LACASADETONO.COM.MX,,Fijo,-99.14415396,19.46793415,,,,0580,018,722513,,72,722,7225,72251,,COLONIA,2019-11,090020001
9,09015722513006584000037880S5,8486479,LA CASA DE TOÑO,RESTAURANTES ANCA SA DE CV,Restaurantes con servicio de preparación de antojitos,31 a 50 personas,CALLE,LÓPEZ,0,0,CENTRO,06050,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,LETICIA.DIAZ@LACASADETONO.COM.MX,,Fijo,-99.14194751,19.43383615,,,,0748,012,722513,,72,722,7225,72251,,COLONIA,2019-11,090150001
