,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
0,09015713941000282000000000U6,8326587,CLUB DEPORTIVO SMART FIT ROMA NORTE,LATAMGYM SAPI DE CV,Centros de acondicionamiento físico del sector privado,6 a 10 personas,CALLE,PUEBLA,326,,ROMA NORTE,06700,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,JUAN.HERRERA@SMARTFIT.COM.MX,WWW.SMARTFIT.COM.MX,Fijo,-99.17110326,19.42065820,,,,0998,017,713943,,71,713,7139,71394,,COLONIA,2019-11,090150001
1,09005713943003213000000000S5,7714398,GIMNASIO SMART FIT,LATAMGYM SAPI DE CV,Centros de acondicionamiento físico del sector privado,11 a 30 personas,EJE VIAL,3 ORIENTE (AVENIDA INGENIERO EDUARDO MOLINA),163,,VASCO DE QUIROGA,07440,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,,,Fijo,-99.09037721,19.49761323,,,,3178,033,713943,,71,713,7139,71394,,COLONIA,2019-11,090050001
2,09012463211009071011000000S1,848866,GIMNASIO SMART FIT LATAM GYM,,Centros de acondicionamiento físico del sector privado,11 a 30 personas,CALLE,BOULEVARD PICACHO AJUSCO,175,,JARDINES EN LA MONTAÑA,14140,"TLALPAN, Tlalpan, CIUDAD DE MÉXICO",,,,Fijo,-99.21182360,19.29851634,CENTRO Y PLAZA COMERCIAL,PLAZA CHEDRAUI,54,2070,031,713943,PISO 1,71,713,7139,71394,CENTRO Y PLAZA COMERCIAL,COLONIA,2010-07,090120001
3,09013713943001613000000000S2,7628022,GIMNASIO SMART FIT XOCHIMILCO,LATAMGYM SAPI DE CV,Centros de acondicionamiento físico del sector privado,11 a 30 personas,AVENIDA,GUADALUPE I. RAMIREZ,610,,TIERRA NUEVA,16050,"XOCHIMILCO, Xochimilco, CIUDAD DE MÉXICO",,,WWW.SAMARTFIT.COM.MX,Fijo,-99.12433446,19.26788177,,,,0160,010,713943,,71,713,7139,71394,,COLONIA,2019-11,090130001
4,09008713943000462001000000S5,6729596,SMART  FIT,LATAMGYM SAPI DE CV,Centros de acondicionamiento físico del sector privado,11 a 30 personas,AVENIDA,SAN JERONIMO,819,7,SAN JERONIMO LIDICE,10200,"LA MAGDALENA CONTRERAS, La Magdalena Contreras, CIUDAD DE MÉXICO",,ARTURO.AVILES@SMARTFIT.COM.MX,WWW.SMARTFIT.COM.MX,Fijo,-99.21565775,19.32958370,,,,0086,007,713943,,71,713,7139,71394,,COLONIA,2016-01,090080001
5,09010713943001203000000000U8,6716984,SMART FIT,LATAMGYM SAPI DE CV,Centros de acondicionamiento físico del sector privado,11 a 30 personas,AVENIDA,INSURGENTES SUR,1685,1,GUADALUPE INN,01020,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,SFTORREDIAMANTE@SMARTFIT.COM,,Fijo,-99.18320434,19.36123026,,,,0987,021,713943,,71,713,7139,71394,,COLONIA,2016-01,090100001
6,09002713943001152000000000U4,9289329,SMART FIT,LATAM GYM SA DE CV,Centros de acondicionamiento físico del sector privado,6 a 10 personas,EJE VIAL,4 NORTE (ANTIGUA CALZADA DE GUADALUPE),1,0,SAN MARCOS,02020,"AZCAPOTZALCO, Azcapotzalco, CIUDAD DE MÉXICO",,,,Fijo,-99.17914856,19.48966971,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL PASAJE FERRERIA,,0326,004,713943,PISO 2,71,713,7139,71394,,COLONIA,2020-11,090020001
7,09015713943002521000000000U1,9291405,SMART FIT,SMAR FIT SA DE CV,Centros de acondicionamiento físico del sector privado,0 a 5 personas,CALLE,GENOVA,59,,JUAREZ,06600,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.16401208,19.42608423,,,,095A,008,713943,,71,713,7139,71394,,COLONIA,2020-11,090150001
8,09002713943001093000000000S0,7995250,SMART FIT,LATA GYM SAPI DE CV,Centros de acondicionamiento físico del sector privado,11 a 30 personas,AVENIDA,AQUILES SERDAN,520,,CENTRO AZCAPOTZALCO,02000,"AZCAPOTZALCO, Azcapotzalco, CIUDAD DE MÉXICO",,,,Fijo,-99.18852926,19.47860636,,,,0472,011,713943,,71,713,7139,71394,,COLONIA,2019-11,090020001
9,09016713943001322000000000S3,8228365,SMART FIT,LATAMGYM SA DE CV,Centros de acondicionamiento físico del sector privado,6 a 10 personas,AVENIDA,CALZADA LEGARIA,312,,PENSIL NORTE,11430,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,SFLEGARIA@SMARTFIT.COM.MX,,Fijo,-99.20006709,19.45224391,,,,0251,015,713943,,71,713,7139,71394,,COLONIA,2019-11,090160001
10,09017713943001591000038494S1,8939934,SMART FIT,LATAM GYM SAPI DE CV,Centros de acondicionamiento físico del sector privado,6 a 10 personas,CALLE,ANFORA,71,,AZTECAS,15320,"VENUSTIANO CARRANZA, Venustiano Carranza, CIUDAD DE MÉXICO",,,,Fijo,-99.11068018,19.43582749,,,,0418,015,713943,,71,713,7139,71394,,COLONIA,2019-11,090170001
11,09010713943000593000038494M3,928253,SMART FIT,LATAM GYM SAPI DE CV,Centros de acondicionamiento físico del sector privado,11 a 30 personas,BOULEVARD,BOULEVARD ADOLFO RUÍZ CORTINES,4132,2,JARDINES DEL PEDREGAL,01900,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,LUIS.LOYA@SMARTFIT.COM.MX,WWW.SMARTFIT.COM.MX,Fijo,-99.21127430,19.30689248,OTRO CONGLOMERADO,TERRAZA PEDREGAL,15 AL 18,1307,024,713943,,71,713,7139,71394,,COLONIA,2014-12,090100001
