,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
0,09002722515002213000054919M8,8679973,STARBUCKS,ASESORIA Y PRESTACION DE SERVICIOS INTEGRALES SA DE CV,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",11 a 30 personas,AVENIDA,AQUILES SERDAN,1025,,EL ROSARIO,02100,"AZCAPOTZALCO, Azcapotzalco, CIUDAD DE MÉXICO",,SBMX38458@STARBUCKS.COM.MX,,Semifijo,-99.20521224,19.50302436,CENTRO Y PLAZA COMERCIAL,TOWN CENTER EL ROSARIO,1025,0928,009,722515,PLANTA BAJA,72,722,7225,72251,CENTRO Y PLAZA COMERCIAL,COLONIA,2019-11,090020001
1,09010722515003192000054918M6,8694817,STARBUCKS,ASESORIA Y PRESTACION DE SERVICIOS SA DE CV,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,AVENIDA,REVOLUCION,1267,,LOS ALPES,01010,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,,,Fijo,-99.18957305,19.36061817,CENTRO Y PLAZA COMERCIAL,PORTAL SAN ANGEL,1267,0987,016,722515,PISO 2,72,722,7225,72251,CENTRO Y PLAZA COMERCIAL,COLONIA,2019-11,090100001
2,09016722515006151000003311S6,8780039,STARBUCKS,CAFE SIRENA S DE RL DE CV,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,AVENIDA,MIGUEL DE CERVANTES SAAVEDRA,380,,IRRIGACION,11579,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,WWW.STARBUCKS.COM.MX,Fijo,-99.20624598,19.44013440,,,,0444,006,722515,,72,722,7225,72251,,COLONIA,2019-11,090160001
3,09014722515007551000000000U1,9287876,STARBUCKS,CAFE SIRENA S DE RL DE CV,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,AVENIDA,INSURGENTES SUR,1458,,ACTIPAN,03230,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",018002880888,,WWW.STARBUCKS.CO.MX,Fijo,-99.18043461,19.36861937,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE ORIGAMI,,0717,010,722515,MEZZANINE,72,722,7225,72251,,COLONIA,2020-11,090140001
4,09003722515007191000000000U9,9295028,STARBUCKS,CAFE SIRENA S DE RL DE CV,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,CALLE,BENITO JUAREZ,117,,EX HACIENDA COAPA,04850,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,,,Fijo,-99.13570845,19.31361376,CENTRO Y PLAZA COMERCIAL,PLAZA AMERICA,,1410,036,722515,PLANTA BAJA,72,722,7225,72251,,COLONIA,2020-11,090030001
5,09015722511016691000000000U0,9297793,STARBUCKS,CAFE SIRENA SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,EJE VIAL,2-A SUR (SAN LUIS POTOSI),143,0,ROMA NORTE,06700,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.STARBUCKS.COM.MX,Fijo,-99.16131786,19.41380258,,,,1214,007,722511,,72,722,7225,72251,,COLONIA,2020-11,090150001
6,09014722515007581000000000U8,9338571,STARBUCKS,DMA CORPORATIVO SA DE CV,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,AVENIDA,INSURGENTES SUR,38,0,NAPOLES,,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,SBMX38504@STARBUCKS.COM.MX,,Fijo,-99.17259465,19.39374015,CENTRO Y PLAZA COMERCIAL,WORLD TRADE CENTER,,0219,001,722515,PLANTA BAJA,72,722,7225,72251,CAFETERIA,COLONIA,2021-05,090140001
7,09015722515013983000000000U5,9348062,STARBUCKS,CAFE SIRENA SA DE CV,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",11 a 30 personas,CALLE,TLAXCALA,207,,HIPODROMO,,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,NUEVOLEON@STARBUCKS..COM.MX,STARBUCKS.COM,Fijo,-99.17174049,19.40632525,,,,1341,005,722515,,72,722,7225,72251,,COLONIA,2021-05,090150001
8,09014722110003541011003311S6,6793018,STARBUCKS,CAFE SIRENA S DE RL DE CV,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,CIRCUITO,INTERIOR (AVENIDA PATRIOTISMO),229,,SAN PEDRO DE LOS PINOS,03800,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,TUOPINION@STARBUCKS.COM.MX,WWW.STARBUCKS.COM.MX,Fijo,-99.18103351,19.39599924,CENTRO Y PLAZA COMERCIAL,METROPOLI PATRIOTISMO,SN,0187,026,722515,,72,722,7225,72251,,COLONIA,2017-03,090140001
9,09017722219015641011003311S2,6794431,STARBUCKS,CAFE SIRENA S DE RL DE CV,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,EJE VIAL,1 NORTE (AVENIDA HANGARES DE AVIACIÓN FUERZA AÉREA MEXICANA),0,,AVIACION CIVIL,15620,"VENUSTIANO CARRANZA, Venustiano Carranza, CIUDAD DE MÉXICO",,TUOPINION@STARBUCKS.COM.MX,WWW.STARBUCKS.COM.MX,Fijo,-99.07070673,19.42944243,AEROPUERTO,AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,TERMINAL 2 PASUES23,0140,001,722515,,72,722,7225,72251,,COLONIA,2017-03,090170001
