,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
0,09003462111000491000000000U2,9282939,SUPERAMA,NUEVA WALMART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,0 a 5 personas,CALZADA,TAXQUEÑA,1752,,SAN FRWANCISCO CULHUACAN,04420,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,,,Fijo,-99.12662089,19.33865572,,,,0342,003,462111,,46,462,4621,46211,,COLONIA,2020-11,090030001
1,09014462111000476001002514S0,6790532,SUPERAMA 2766,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,AVENIDA,FELIX CUEVAS,374,,TLACOQUEMACATL,03200,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,,,Fijo,-99.17600816,19.37299480,,,,0806,006,462111,,46,462,4621,46211,,COLONIA,2017-03,090140001
2,09012462111000066000002514S3,6324248,SUPERAMA ACOXPA 1053,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,101 a 250 personas,CALZADA,ACOXPA,438,,EXHACIENDA ACOXPA,14300,"TLALPAN, Tlalpan, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,,Fijo,-99.13473337,19.29666085,,,,0214,003,462111,,46,462,4621,46211,,COLONIA,2010-07,090120001
3,09010462111000196001002514S2,6316142,SUPERAMA AV TOLUCA 3915,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,AVENIDA,TOLUCA,511,,OLIVAR DE LOS PADRES,01780,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,,Fijo,-99.21869783,19.33896993,,,,1171,049,462111,,46,462,4621,46211,,COLONIA,2010-07,090100001
4,09010462111000206001002514S9,6324126,SUPERAMA AXOMIATLA 5817,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,CALZADA,DE LAS AGUILAS,1819,,SN ANTONIO TERANGO,01620,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,WWW.WALMART.COM.MX,Fijo,-99.24817695,19.34119989,,,,1148,008,462111,,46,462,4621,46211,,COLONIA,2010-07,090100001
5,09016462111000256001002514S1,6324489,SUPERAMA BARRILACO 3814,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,CALLE,SIERRA VENTANAS,750,,LOMAS DE CHAPULTEPEC,11000,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,WWW.WALMART.COM.MX,Fijo,-99.22642683,19.41553192,,,,0923,025,462111,,46,462,4621,46211,,COLONIA,2010-07,090160001
6,09016462111000236002002514S3,6324493,SUPERAMA BOSQUES DE LAS LOMAS 3829,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,CALLE,BOSQUES DE DURAZNOS,187,,LOMAS DE LAS LOMAS,11700,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,RAFAE.MIRAMON@WALMART.COM,WWW.WALTMART.COM.MX,Fijo,-99.23985480,19.40732954,,,,1245,001,462111,,46,462,4621,46211,,COLONIA,2010-07,090160001
7,09010462111000296002002514S0,6323857,SUPERAMA CAD CENTENARIO 1486,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,101 a 250 personas,CALZADA,PINOS,72,,SAN CLEMENTE,01740,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,RAFAELMIRAMON@WALMART.COM,WWW.WALMART.COM.MX,Fijo,-99.22665495,19.34889637,,,,1824,010,462111,,46,462,4621,46211,,AMPLIACION,2010-07,090100001
8,09010462111000286001002514S1,6316742,SUPERAMA CALZADA DE LOS LEONES 2829,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,CALZADA,DE LOS LEONES,242,,LOS ALPES,01010,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,,Fijo,-99.19830014,19.35786125,,,,0972,016,462111,,46,462,4621,46211,,COLONIA,2011-03,090100001
9,09003462111000186000002514S8,6324488,SUPERAMA CHURUBUSCO 3813,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,101 a 250 personas,CALLE,CERRO DE LAS TORRES,229,,CAMPESTRE CHURUBUSCO,04200,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,WWW.WALMART.COM.MX,Fijo,-99.13558332,19.34501986,,,,0183,020,462111,,46,462,4621,46211,,COLONIA,2010-07,090030001
10,09003462111000126000002514S4,6324482,SUPERAMA COYOACAN 3831,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,101 a 250 personas,AVENIDA,MIGUEL  ANGEL DE  QUEVEDO,870,,BARRIO DE LA CONCEPCION,04020,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,,Fijo,-99.15656983,19.34395640,,,,015A,019,462111,,46,462,4621,46211,,COLONIA,2010-07,090030001
11,09014462111000226002002514S9,6324485,SUPERAMA DEL VALLE 3819,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,CALLE,HERIBERTO FRIAS,1107,,DEL VALLE,03100,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,WWW.WALMART.COM.MX,Fijo,-99.16283988,19.38185706,,,,0613,018,462111,,46,462,4621,46211,,COLONIA,2010-07,090140001
12,09014462210000366001002514S3,6714662,SUPERAMA DEL VALLE NORTE 3223,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,CALLE,XOLA,407,,DEL VALLE NORTE,03103,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,,Fijo,-99.16706896,19.39744036,,,,0045,010,462111,,46,462,4621,46211,,COLONIA,2016-01,090140001
13,09003462111000085000002514S2,6313069,SUPERAMA DIVISION DEL NORTE 3843,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,AVENIDA,División del Norte,3651,0,SAN PABLO TEPETLAPA,04600,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,,Fijo,-99.13900822,19.32131444,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL REAL DE COYOACAN SN,,0677,008,462111,,46,462,4621,46211,,COLONIA,2010-07,090030001
14,09012462111000045000002514S7,6315888,SUPERAMA FUENTES DEL PEDREGAL 3896,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,101 a 250 personas,AVENIDA,UNION,3,,FUENTES DEL PEDREGAL,14220,"TLALPAN, Tlalpan, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,,Fijo,-99.22027931,19.30577031,,,,1369,048,462111,,46,462,4621,46211,,HACIENDA,2010-07,090120001
15,09014462111000146000002514S9,6324487,SUPERAMA GEORGIA 3817,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,101 a 250 personas,CALLE,GEORGIA,53,,NAPOLES,03810,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,WWW.WALMART.COM.MX,Fijo,-99.17504482,19.38970646,,,,0384,001,462111,,46,462,4621,46211,,COLONIA,2010-07,090140001
16,09003462111000257000002514S7,6324498,SUPERAMA GIRASOLES 3839,NUEVA WAL MART DE MEXICO S DE RL DE CV,Comercio al por menor en supermercados,51 a 100 personas,CALLE,Rancho San Lorenzo,6,0,GIRASOLES VILLA COAPA,04920,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,RAFAEL.MIRAMON@WALMART.COM,WWW.WALMART.COM.MX,Fijo,-99.12531997,19.31064572,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL LOS GIRASOLES,,168A,020,462111,,46,462,4621,46211,,COLONIA,2010-07,090030001
