,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
0,09010722511004071000000000U0,7261680,COMIDA SUSHI ROLL & FISH,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,CALLE,BELEN DE LAS ROSAS,8,,BELEM DE LAS ROSAS,01110,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,,,Fijo,-99.21738116,19.39723344,,,,2076,021,722511,,72,722,7225,72251,,COLONIA,2019-11,090100001
1,09015722110005033001000000S9,1028806,RESTAURANTE COMIDA JAPONESA SUSHI ROLL,BUFFET PRIME SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,CALLE,LONDRES,127,,JUAREZ,06600,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",5555112323,ZONAROSA@SUSHIROLL.MX,WWW.SUSHIROLL.MX,Fijo,-99.16439056,19.42529341,,,,095A,008,722511,PLANTA BAJA,72,722,7225,72251,EDIFICIO SIN NOMBRE,COLONIA,2010-07,090150001
2,09007722212002761010000000U9,750388,RESTAURANTE DE COMIDA JAPONESA SUSHI ROLL,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,CALLE,PRIVADA VICTORIA,,,SAN LUCAS,09000,"IZTAPALAPA, Iztapalapa, CIUDAD DE MÉXICO",,,,Fijo,-99.09391060,19.36071477,MERCADO PUBLICO,BAZAR IZTAPALAPA,115 Y 116,0977,011,722511,PLANTA BAJA,72,722,7225,72251,MERCADO PUBLICO,BARRIO,2010-07,090070001
3,09014722219011942000000000S5,952385,RESTAURANTE SUSHI ROLL,OPERADORA GASTRONOMICA ARGENTUM SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,CALLE,PARROQUIA,179,410,ACTIPAN,03230,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",5555346677,,WWW.SUSHIROLL.MX,Fijo,-99.17846287,19.37130752,CENTRO Y PLAZA COMERCIAL,GALERIAS INSURGENTES,410,0806,022,722511,PISO 1,72,722,7225,72251,CENTRO Y PLAZA COMERCIAL,COLONIA,2010-07,090140001
4,09014722110002583001021918M9,972940,SUSHI ROLL ,SUSHI ROLL SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,AVENIDA,UNIVERSIDAD,1000,0,SANTA CRUZ ATOYAC,03310,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,UNIVERSIDAD@SUSHIROLL.MX,WWW.SUSHIROLL.COM.MX,Fijo,-99.16630324,19.36805073,CENTRO Y PLAZA COMERCIAL,PLAZA UNIVERSIDAD,,0825,002,722511,,72,722,7225,72251,,COLONIA,2010-07,090140001
5,09014722110002834011021918S6,979696,SUSHI ROLL,SUSHI ROLL SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,101 a 250 personas,AVENIDA,8 SUR (AVENIDA POPOCATÉPETL),481,0,SANTA CRUZ ATOYAC,03340,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,,WWW.SUSHIROLL.COM.MX,Fijo,-99.16163676,19.36414328,,,,0971,008,722511,,72,722,7225,72251,,COLONIA,2014-12,090140001
6,09014722511000584001021918S8,932618,SUSHI ROLL,SUSHI ROLL SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,51 a 100 personas,AVENIDA,INSURGENTES SUR,771,0,NAPOLES,03810,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,WTC@SHUSIROLL.MX,WWW.SUSHIROLL.COM.MX,Fijo,-99.17345972,19.39127322,,,,0384,013,722511,,72,722,7225,72251,,COLONIA,2010-07,090140001
7,09016722511000283000000000S2,760725,SUSHI ROLL,FRUPO GASTRONOMICO AAG SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,AVENIDA,EJERCITO NACIONAL MEXICANO,980,230,CHAPULTEPEC MORALES,11510,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",5555807290,,,Fijo,-99.20750037,19.43845211,CENTRO Y PLAZA COMERCIAL,PABELLON POLANCO,230,0622,012,722511,PISO 1,72,722,7225,72251,CENTRO Y PLAZA COMERCIAL,COLONIA,2010-07,090160001
8,09016722110001073000000000S7,762660,SUSHI ROLL,SUSHI ROLL SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,CALLE,OSCAR WILDE,20,0,POLANCO CHAPULTEPEC,11530,"MIGUEL HIDALGO, Miguel Hidalgo, CIUDAD DE MÉXICO",,,,Fijo,-99.19756372,19.43112533,,,,0764,006,722511,,72,722,7225,72251,,COLONIA,2010-07,090160001
9,09012722110001123000021918S9,861374,SUSHI ROLL,SUSHI ROLL SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,CALZADA,CALZADA DEL HUESO,569,0,GRANJAS COAPA,,"TLALPAN, Tlalpan, CIUDAD DE MÉXICO",,SUSHIROLLCOAPA@YAHOO.COM.MX,WWW.SUSHIROLL.COM.MX,Fijo,-99.12338924,19.30333164,,CENTRO COMERCIAL GALERÍAS COAPA,413,1918,012,722511,,72,722,7225,72251,,COLONIA,2010-07,090120001
