,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
0,09002722511003064000002563S3,9294708,CEDIS TOKS,RESTAURANTES TOKS SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,EJE VIAL,4 NORTE (CALZADA AZCAPOTZALCOLA VILLA),678,,INDUSTRIAL VALLEJO,,"AZCAPOTZALCO, Azcapotzalco, CIUDAD DE MÉXICO",,,,Fijo,-99.16371109,19.48911162,,,,0877,014,722511,,72,722,7225,72251,,COLONIA,2020-11,090020001
1,09010722511005164000053909S2,9156598,RESTAURANTE TOKS,SERVICIOS GASTRONOMICOS GIGANTE SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,CALLE,AGUA,325,,JARDINES DEL PEDREGAL,01900,"ÁLVARO OBREGÓN, Álvaro Obregón, CIUDAD DE MÉXICO",,,WWW.RESTAURANTESTOKS.COM,Fijo,-99.20893926,19.32623535,,,,1260,005,722511,,72,722,7225,72251,,COLONIA,2019-11,090100001
2,09015722511014045000000000S1,8483838,RESTAURANTES TOKS,RESTAURANTES TOKS SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,51 a 100 personas,EJE VIAL,2 NORTE (MANUEL GONZALEZ),95,,SAN SIMON TOLNAHUAC,06920,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.14209671,19.45580936,CENTRO Y PLAZA COMERCIAL,PUERTA TLATELOLCO,95,0080,026,722511,PLANTA BAJA,72,722,7225,72251,CENTRO Y PLAZA COMERCIAL,COLONIA,2019-11,090150001
3,09005722511005101000000000U4,9293071,SERVICIO ESTACIONAMIENTO TOKS SET,SERVICIOS GASTRONOMICOS GIGARTE SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,EJE VIAL,3 NORTE (CUITLAHUAC),,,DEFENSORES DE LLA REPUBLICA,07720,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,ECUITLAHUAC2@TOKS.COM,,Fijo,-99.14509799,19.47315942,,,,1720,022,722511,,72,722,7225,72251,,COLONIA,2020-11,090050001
4,09007722511002654001024406S1,6713518,SERVICIOS TOKS,SERVICIOS TOKS SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,AVENIDA,TLÁHUAC,4746,0,GRANJAS ESTRELLA,09880,"IZTAPALAPA, Iztapalapa, CIUDAD DE MÉXICO",,,,Fijo,-99.08461902,19.32031700,,,,4414,032,722511,,72,722,7225,72251,,COLONIA,2016-01,090070001
5,09015812410010581010024406S5,6786864,SERVICIOS TOKS,SERVICIOS TOKS SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,EJE VIAL,1 PONIENTE (AVENIDA CUAUHTÉMOC),0,0,DOCTORES,06720,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.15380636,19.42276798,,,,1534,012,722511,,72,722,7225,72251,,COLONIA,2017-03,090150001
6,09014812410003101010024406S4,6786868,SERVICIOS TOKS ,SERVICIOS TOKS SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,AVENIDA,INSURGENTES SUR,0,0,DEL VALLE,03100,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,ESTACIZ@TOKS.COM.MX,,Fijo,-99.17426745,19.38755442,,,,0223,018,722511,,72,722,7225,72251,,COLONIA,2017-03,090140001
7,09014812410003061010024406S0,6786911,SERVICIOS TOKS,SERVICIOS TOKS SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,EJE VIAL,CALZADA DE TLALPAN,1013,0,DEL VALLE,03610,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,J.PATLAN@TOKS.COM.MX,,Fijo,-99.14000638,19.38246875,,,,0492,003,722511,,72,722,7225,72251,,COLONIA,2017-03,090140001
8,09015812410010561010024406S7,6786934,SERVICIOS TOKS,SERVICIOS TOKS SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,AVENIDA,PUENTE DE ALVARADO,0,0,BUENAVISTA,06350,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,ESTACIZ@TOKS.COM.MX,,Fijo,-99.15067677,19.43837585,,,,0714,019,722511,,72,722,7225,72251,,COLONIA,2017-03,090150001
9,09005812410001081010000000S8,6786953,SERVICIOS TOKS,SERVICIOS TOKS SA DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,AVENIDA,INSTITUTO POLITECNICO NACIONAL,1728,0,LINDAVISTA,07300,"GUSTAVO A. MADERO, Gustavo A. Madero, CIUDAD DE MÉXICO",,ESTACILIND@TOKS.COM.MX,,Fijo,-99.13393890,19.48939710,,,,1097,017,722511,,72,722,7225,72251,,COLONIA,2017-03,090050001
