,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
0,09007722219009251000000000U9,822300,ANTOJITOS MEXICANOS VIPS,,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,CALLE,LAURELES,24,,SAN JUAN XALPA,09850,"IZTAPALAPA, Iztapalapa, CIUDAD DE MÉXICO",,,,Fijo,-99.08418637,19.33946866,,,,4804,006,722513,,72,722,7225,72251,,COLONIA,2010-07,090070001
1,09012722412000561001000000U1,934844,BAR 3ER MILENIO VIP,PLUTONIA SA DE CV,"Bares, cantinas y similares",6 a 10 personas,CALLE,HACIENDA TOTOAPAN,,,PRADO COAPA 2A SECCION,14357,"TLALPAN, Tlalpan, CIUDAD DE MÉXICO",5513848376,,,Fijo,-99.13314667,19.29602202,,,,0229,019,722412,PLANTA BAJA,72,722,7224,72241,EDIFICIO SIN NOMBRE,COLONIA,2014-12,090120001
2,09011722219004923000000000U0,1051887,CAFE-RESTAURANTE VIP LAS MAYITAS,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,CALLE,ALDAMA,1,0,SANTIAGO ZAPOTITLAN,13300,"TLÁHUAC, Tláhuac, CIUDAD DE MÉXICO",,MAYITASVIPMX@HOTMAIL.COM,,Fijo,-99.03679607,19.29834741,,,,0039,014,722511,,72,722,7225,72251,,COLONIA,2010-07,090110001
3,09007722110000451002003155S5,6324480,CENTRO DE DISTRIBUCION IZTAPALAPA,OPERADORA VIPS S DE RL DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,101 a 250 personas,AVENIDA,5 SUR (AVENIDA MARCELINO BUENDIA),149,0,CHINAMPAC DE JUÁREZ,09208,"IZTAPALAPA, Iztapalapa, CIUDAD DE MÉXICO",,DRAMIREZC@ALSEA.COM.MX,WWW.ALSEA.NET,Fijo,-99.05563684,19.37552175,,,,5484,044,722511,,72,722,7225,72251,,COLONIA,2010-07,090070001
4,09017722511003704000000000U2,9348094,CORAZON DE BARRIO,OPERADORA VIPS S DE RL DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,CALLE,SONORA,,,PEÑON DE LOS BAÑOS,,"VENUSTIANO CARRANZA, Venustiano Carranza, CIUDAD DE MÉXICO",,,CORAZONDEBARRIO,Fijo,-99.08557818,19.43404208,AEROPUERTO,AEROPUERTO INTERNACIONAL BENITO JUAREZ T1,MEZANINE 2A,0140,001,722511,PISO 1,72,722,7225,72251,,COLONIA,2021-05,090170001
6,09002722511003131000000000U0,9281320,EL PORTON VIA VALLEJO RESTAURANTE,OPERADORA VIPS S DE RL DE CV,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,EJE VIAL,1 PONIENTE (CALZADA VALLEJO),1090,,INDUSTRIAL VALLEJO,02300,"AZCAPOTZALCO, Azcapotzalco, CIUDAD DE MÉXICO",,,,Fijo,-99.15154021,19.48749487,CENTRO Y PLAZA COMERCIAL,PARQUE VIA VALLEJO,R13 Y R13B,0877,027,722511,PISO 2,72,722,7225,72251,,COLONIA,2020-11,090020001
7,09015812110004611000000000U1,1029018,ER SALON ALDO ALCANTARA VIP ES COMO DISCO,,"Bares, cantinas y similares",6 a 10 personas,CALLE,AMBERES,58,,JUAREZ,06600,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.16482018,19.42478614,,,,095A,001,722412,PLANTA BAJA,72,722,7224,72241,EDIFICIO SIN NOMBRE,COLONIA,2010-07,090150001
8,09015721111000332002000000U9,6305051,HOTELES MARSELLA VIP,OPERADORA DE HOTELES MARSELLA SA DE CV,Hoteles con otros servicios integrados,6 a 10 personas,AVENIDA,PERALVILLO,107,,MORELOS,06200,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,HMARSELLA.VIP@HOTMAIL.COM,,Fijo,-99.13148021,19.45092083,,,,0339,007,721111,,72,721,7211,72111,,COLONIA,2010-07,090150001
9,09015722412004522000000000U2,8326260,MACHO VIP DANCE BAR,BARES DE AMBERES SA DE CV,"Bares, cantinas y similares",6 a 10 personas,CALLE,AMBERES,24,,JUAREZ,06600,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,MAURICITO33@HOTMAIL.COM,,Fijo,-99.16553191,19.42612059,,,,0945,015,722412,,72,722,7224,72241,,COLONIA,2019-11,090150001
10,09003722412000661000000000U8,7717448,MURALITOS VIP,,"Bares, cantinas y similares",0 a 5 personas,CALLE,DALIAS,335,,PEDREGAL DE SANTO DOMINGO,04369,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,,,Fijo,-99.17345664,19.32629699,,,,0785,027,722412,,72,722,7224,72241,,COLONIA,2019-11,090030001
